Apple Inc.,AAPL,212.16B,72.94B,22.39,8.05,45595972,3.57,5.87,16.47,1.11,2.08,5752618000,5761029000,1.6,NMS
Google Inc.,GOOG,67.84B,21.90B,158.72,21.16,1176214,5.46,3.42,25.53,1.25,N/A,579167000,682409000,1.4,NMS
"Facebook, Inc.",FB,13.51B,6.28B,13.47,1.03,19567937,16.59,5.97,78.35,1.48,N/A,2128757000,2784000000,1.2,NMS
"Amazon.com, Inc.",AMZN,91.96B,4.87B,23.33,-0.88,2020629,2.19,18.5,N/A,32,N/A,380964000,465680000,2.7,NMS
iRobot Corporation,IRBT,560.60M,65.20M,13.27,1.23,157448,1.71,2.43,26.14,1.52,N/A,27166000,29724000,9.3,NMS
Ciena Corporation Common Stock,CIEN,2.28B,164.37M,-0.82,-0.41,1594750,1.1,N/A,N/A,1.25,N/A,105939000,108281000,4.4,NYQ
SPDR S&P 500,SPY,N/A,N/A,0,-20.09,57433495,N/A,N/A,N/A,0,2.13,N/A,N/A,N/A,PCX
